YEAR,TEAM,MATCHES,WON,LOST,TIED,ABANDONED,POINTS,NRR
2018,Sunrisers Hyderabad,14,9,5,0,0,18,0.284
2018,Chennai Super Kings,14,9,5,0,0,18,0.253
2018,Kolkata Knight Riders,14,8,6,0,0,16,-0.07
2018,Rajasthan Royals,14,7,7,0,0,14,-0.25
2018,Mumbai Indians,14,6,8,0,0,12,0.317
2018,Royal Challengers Bangalore,14,6,8,0,0,12,0.129
2018,Kings XI Punjab,14,6,8,0,0,12,-0.502
2018,Delhi Capitals,14,5,9,0,0,10,-0.222
